Date,Instacart,Amazon Fresh,Walmart Grocery
2017-01-01,14,54,51
2017-01-08,15,66,39
2017-01-15,13,55,41
2017-01-22,12,54,40
2017-01-29,13,49,45
2017-02-05,11,54,41
2017-02-12,12,44,37
2017-02-19,13,48,36
2017-02-26,16,45,40
2017-03-05,12,49,41
2017-03-12,14,47,38
2017-03-19,13,53,40
2017-03-26,12,64,37
2017-04-02,14,51,47
2017-04-09,15,43,40
2017-04-16,15,43,41
2017-04-23,16,47,43
2017-04-30,15,50,41
2017-05-07,19,53,39
2017-05-14,15,41,42
2017-05-21,16,51,40
2017-05-28,23,46,46
2017-06-04,21,56,41
2017-06-11,24,100,42
2017-06-18,23,85,43
2017-06-25,23,69,44
2017-07-02,20,61,46
2017-07-09,23,68,45
2017-07-16,23,83,41
2017-07-23,22,67,48
2017-07-30,26,67,55
2017-08-06,24,64,54
2017-08-13,29,62,63
2017-08-20,26,63,50
2017-08-27,30,80,46
2017-09-03,30,73,54
2017-09-10,32,74,47
2017-09-17,35,72,50
2017-09-24,32,74,52
2017-10-01,36,74,50
2017-10-08,35,62,52
2017-10-15,34,66,49
2017-10-22,34,65,52
2017-10-29,30,70,51
2017-11-05,31,67,55
2017-11-12,31,57,72
2017-11-19,33,54,79
2017-11-26,35,52,55
2017-12-03,33,46,56
2017-12-10,35,43,52
2017-12-17,38,45,64
2017-12-24,40,48,94
2017-12-31,46,55,61
